番号,単語,意味
2455,impaired,～に障害のある、弱った、損なわれた
2456,impairment,障害、損傷
2457,impart,与える、伝える
2458,impartial,公平な
2459,impassable,(川・道などが)通行できない、(困難・障害などが)克服できない
2460,impatience,いらだち、じれったさ
2461,impede,邪魔する、妨げる
2462,imperative,必須の、急務の
2463,imperial,帝国の、皇帝の
2464,impersonal,人間味のない
2465,implant,を移植する、を教え込む、植え付ける
2466,implement,道具、手段、実行する
2467,implication,(裏の・言外の)意味、(予想される)影響、結果
2468,implicit,暗黙の、内在する
2469,imply,暗に意味する、ほのめかす
2470,import,輸入する、取り込む
2471,importance,重要性
2472,impose,課す、押しつける、つけこむ
2473,imposing,印象的な，人目を引く，堂々とした
2474,impotence,無力、無能、無気力
2475,impractical,実用的ではない、非現実的な
2476,impress,強い印象を与える、感動させる
2477,impression,印象、感動
2478,impressive,印象的な、感動的な
2479,imprisonment,投獄、収監
2480,improper,不適切な、無作法な
2481,improve,改善する、よくなる
2482,improvise,[他] ～を即興で作る［歌う，演奏する］
2483,impulse,衝動、刺激
2484,impulsive,衝動的な、感情にかられた
2485,in spite of,～にもかかわらず
2486,inability,無能、無力
2487,inaccurate,不正確な、誤りのある
2488,inactive,不活発な、停止中の
2489,inadequate,不十分な、不適当な
2490,inanimate,生命のない、活気のない
2491,inappropriate,ふさわしくない、不適当な
2492,inattentive,不注意な、怠慢な
2493,inborn,生まれつきの、生来の
2494,incautiously,不注意にも、うかつに
2495,incentive,刺激、動機、やる気を出させるもの
2496,inception,初め、発端
2497,incessant,絶え間のない
2498,inch,インチ（2.54cm）
2499,incidence,発生(率)
2500,incident,出来事、事件、紛争
2501,incisive,明敏な、鋭い
2502,inclination,意向、願望、好み
2503,incline,傾ける、～を…する気にさせる、傾く
2504,inclined,～する傾向がある
2505,include,含む
2506,including,を含めて
2507,inclusive,全てを含んだ
2508,income,収入、所得
2509,incompetent,無能な、無力な、無能力者
2510,incomprehensible,理解できない、わかりにくい
2511,inconsiderable,ささいな、わずかな
2512,inconsistent,一致していない、相反する
2513,inconvenience,に不便[迷惑]をかける；不便、迷惑、迷惑なもの[人]
2514,inconvenient,不便な、不都合な
2515,incorporate,取り入れる、組み込む
2516,increase,増加する、を増やす
2517,increasingly,ますます
2518,incredible,信じがたい、途方もない、とてもすばらしい
2519,incriminate,に罪を負わせる、を告発する
2520,incurable,不治の、治らない
2521,indebted,恩を受けている
2522,indeed,実際は、本当に、実に
2523,indefinite,不定の、ぼんやりした、不明瞭の
2524,independence,独立、自立
2525,independent,独立した
2526,index,指標、索引、指数、見出し
2527,indicate,指し示す、明らかにする、ほのめかす
2528,indication,兆候、指示
2529,indicative,指示する、暗示する
2530,indifferent,無関心な
2531,indigenous,固有の、現地の、生来備わった
2532,indigestion,消化不良、不消化
2533,indignation,憤慨
2534,indirect,間接の、まわりくどい
2535,indispensable,不可欠な
2536,indisputable,明白な、確実な
2537,individual,個人的な、個々の、特有の、個性的な
2538,induce,説得して～.させる(to do)、引き起こす
2539,indulge,没頭させる、甘やかす、～にふける
2540,indulgent,寛大な、甘い
2541,industrial,産業の
2542,industrialize,産業化する
2543,industry,産業、勤勉
2544,inefficient,非効率的な
2545,inept,不適切な
2546,inequality,不平等
2547,inevitable,避けられない、必然的な
2548,inevitably,必然的に
2549,infamous,いまわしい、悪名高い
2550,infant,（乳）幼児、（乳）幼児期の
2551,infect,感染する
2552,infection,感染（症）
2553,infectious,伝染性の
2554,infer,推論する、推測する
2555,inferior,より劣った
2556,inferiority,劣等、下位
2557,inferred,推量する
2558,infertility,不妊症
2559,infinite,無限の、無数の
2560,infinity,無限大
2561,inflammation,炎症
2562,inflate,ふくらませる、（物価）をつり上げる
2563,inflation,インフレ、高騰
2564,inflict,（苦痛、損害、罰など）を与える
2565,influence,影響を及ぼす、影響
2566,influential,影響力のある
2567,influx,(人・物の)殺到、(水・空気の)流入
2568,inform,知らせる、情報を提供する
2569,informal,形式ばらない、略式の、くだけた
2570,informant,情報提供者、内通者
2571,information,情報、案内（所）
2572,informative,有益な、情報[知識]を提供する
2573,infrastructure,インフラ、基本的施設、（経済）基盤
2574,ingenious,発明の才に富む、巧妙な、利口な
2575,ingenuity,創意、工夫、発明の才
2576,ingenuous,純真な、無邪気な
2577,ingest,摂取する
2578,ingredient,材料、成分
2579,inhabit,～に住んでいる、宿る
2580,inhabitant,住民、生息動物
2581,inhale,を吸い込む
2582,inherent,本来備わっている、固有の
2583,inherit,受け継ぐ、相続する
2584,inheritance,遺産
2585,inhibit,妨げる、～に…するのをやめさせる、抑制する物〔人〕
2586,inhospitable,もてなしの悪い、不愛想な、住むのに適さない
2587,initial,最初の、初期の、頭文字
2588,initially,初めのうちは、最初に
2589,initiate,を新たに始める
2590,initiative,構想、主導権、
2591,inject,注射する、注入する、導入する
2592,injection,注射、投入
2593,injure,傷つける、損なう
2594,injury,負傷、（名誉などを）傷つけること
2595,inland,内陸の
2596,inmate,(刑務所などの)収容者、入院患者
2597,innate,生まれつき持っている、固有の
2598,inner,内部の
2599,innocence,無罪、潔白
2600,innocent,無罪の、無邪気な、無知の
2601,innovation,刷新、大発明、革命的な変化
2602,innovative,革新的な
2603,innumerable,無数の、数え切れないほどの
2604,input,入力（情報）、投入、(情報の)提供
2605,inquire,尋ねる、調査する
2606,inquiry,調査、質問、問い合わせ
2607,insane,狂気の、正気ではない、非常識な
2608,inscription,碑文、刻むこと
2609,insect,昆虫
2610,insecurity,不安(感)、不安定（なもの）
2611,insert,挿入する、挿入物、折込広告
2612,inside,～の中に、内部の、内側
2613,insight,見識、理解（力）、洞察力
2614,insist,主張する、言い張る、要求する
2615,insistent,強く主張する、強要する、しつこい
2616,insoluble,不溶性の、解決できない
2617,insomnia,不眠症
2618,inspect,検査する、詳しく調べる
2619,inspection,検査、点検
2620,inspire,奮い立たせる、励ます、吹き込む、感動を与える
2621,install,インストールする、設置する、就任させる
2622,installment,分割払いの一回分
2623,instance,例、場合
2624,instant,即刻の、瞬間
2625,instantly,すぐに
2626,instead,その代わりに、そうではなくて
2627,instigate,推進する、扇動する
2628,instill,を徐々に教え込む、しみこませる
2629,instinct,本能、勘、直感、衝動
2630,institute,工科大学、研究所、協会
2631,institution,施設、（公共）機関、団体、制度、慣習
2632,institutional,制度(上)の、協会[学会]の
2633,instruct,に指示する、に教える
2634,instruction,指示、使用書
2635,instrument,器具、楽器
2636,instrumental,重要な役割を果たす
2637,insufficient,不十分な、不適当な
2638,insult,侮辱する、侮辱
2639,insurance,保険、保険料、保険金
2640,intact,無傷の、そっくり残って、完全な
2641,intake,摂取（量）、取り入れ
2642,integral,不可欠の、組み込まれた、内蔵型の、積分
2643,integrate,結合する、溶け込ませる、溶け込む
2644,integrity,高潔さ、誠実さ、統一された状態
2645,intellect,知性、〔the～(s)〕知識人
2646,intellectual,知的な、知識人
2647,intelligence,知性； 諜報
2648,intelligent,聡明な、知能を有する
2649,intelligible,理解可能な、判読可能な
2650,intend,～するつもりだ（to do）
2651,intense,強烈な、激しい
2652,intensity,強烈さ
2653,intensive,集中的な、強い、激しい
2654,intent,熱中して、集中した、意図、目的
2655,intention,意図
2656,intentionally,故意に、意図的に
2657,interact,相互に影響する、相互にやりとりする
2658,interaction,交流、相互作用
2659,interest,興味を起こさせる、興味、利益、利子
2660,interfere,妨げとなる、干渉する
2661,interior,室内の、内部の
2662,intermediate,中級の、中間の
2663,intermittently,断続的に、途切れ途切れに
2664,internal,内部の、国内の、内面的な
2665,international,国際的な、国家間の
2666,Internet,インターネット
2667,internship,【米】実務研修、研修期間
2668,interpersonal,人間[対人]関係の
2669,interpret,解釈する、通訳する
2670,interpretation,解釈、通訳
2671,interrogate,尋問する、取り調べる
2672,interrupt,邪魔をする、割り込む、中断する、
2673,intersect,交わる、横切る、区分する
2674,intersection,交差点
2675,interval,間隔、周期、休止期間
2676,intervene,干渉する、仲裁する、介在する
2677,intervention,介入、仲裁、干渉
2678,interview,インタビュー(する)、面接（する）
2679,intestine,腸
2680,intimate,親密な、とても私的な、内心の
2681,intimidate,脅す
2682,intoxicated,酒に酔った、熱狂した
2683,intricate,入り組んだ、複雑な、はっきりしない
2684,intrigue,の興味〔好奇心〕をそそる、陰謀
2685,intrigued,興味をそそられる
2686,intriguing,興味深い
2687,intrinsic,固有の、本来備わっている
2688,introduce,導入する、紹介する
2689,introspection,内省、自己反省
2690,intrude,押し入る、入り込む、侵害する
2691,intruder,侵入者
2692,intrusion,侵入、（意見などの）押しつけ
2693,intuition,直観(的洞察)
2694,invade,侵略する、侵害する、（場所）に殺到する
2695,invalid,(法的に)無効な、説得力のない
2696,invaluable,極めて貴重な[高価]な
2697,invariably,常に、いつも決まって
2698,invasion,侵害、侵入
2699,invent,発明する、（話）をでっちあげる
2700,inventive,独創的な
2701,inventory,目録、明細表
2702,invest,投資する、つぎ込む
2703,investigate,調査する、究明する、調査する
2704,investigation,(詳しい)調査、研究
2705,invincible,無敵の
2706,invisible,見えない
2707,invite,招待する、～に…～することを勧める
2708,invoice,明細請求書、納品書
2709,involuntary,無意識の、自由意志によらない、意志に反した
2710,involve,巻き込む、含む、没頭させる、複雑にする
2711,involved,関係している、参加している
2712,involvement,関与、巻き込まれること
2713,ion,イオン
2714,Ireland,アイルランド
2715,iron,鉄壁
2716,ironic,皮肉な
2717,ironically,皮肉にも
2718,irony,皮肉、予想に反する結末
2719,irrational,理性のない、不合理な
2720,irregular,不規則な
2721,irrelevant,無関係の、見当違いの
2722,irresistible,抵抗できない、非常に魅力的な
2723,irresponsible,無責任な
2724,irreversible,元に戻せない
2725,irrigation,灌漑（かんがい）
2726,irritate,いらいらさせる、ひりひりさせる
2727,irritation,いらだち
2728,island,島
2729,isolate,孤立させる、分離する、隔離する
2730,isolated,孤立している
2731,isolation,孤立，分離，孤独感
2732,issue,発行する、支給する、問題、(雑誌などの)号
2733,item,記事、品物、品目、項目、箇条
2734,itinerary,旅行の日程、旅行計画
2735,jail,刑務所、拘置所
2736,jam,詰め込む、動かなくする、込み合い、ジャム
2737,janitor,(アパート・ビル・学校などの)用務員、管理人
2738,jar,(広口の)びん、つぼ
2739,jaw,あご
2740,jealous,ねたんで、嫉妬して、嫉妬深い
2741,jeopardize,を危険にさらす
2742,jewelry,宝石
2743,join,～に加わる、～をつなぐ、～に参加する
2744,joint,共同の、接合、継ぎ目、関節、を接合する
2745,journal,(定期刊行)雑誌、日誌
2746,journalism,ジャーナリズム、報道
2747,journey,旅行
2748,joy,喜び
2749,judge,判断する、裁く、裁判官、審判
2750,jumble,ごちゃまぜにする
2751,jump,跳ぶ、飛び上がる、飛ばす、跳ぶこと
2752,junction,合流点
2753,junk,くず、がらくた
2754,Jupiter,木星
2755,jury,陪審（員団）、審査員団
2756,Justice,正義、公正、裁判（官）
2757,justify,弁明する、正答する
2758,justly,正当に、当然のことながら
2759,juvenile,青少年の、若い、未熟な、青少年
2760,keen,熱心な、鋭い、強い
2761,kick,蹴る（こと）
2762,kid,子供、冗談を言う
2763,kidnap,～を誘拐する
2764,kidney,腎臓
2765,kin,血縁、親族
2766,kindergarten,幼稚園
2767,kingdom,王国、（通例the）～界
2768,kinship,血族関係
2769,kitten,子ネコ
2770,knee,ひざ
2771,knit,編む、組み合わせる、（まゆ）をよせる
2772,knock,たたく、ノック（の音）、打つこと
2773,knot,結び目
2774,knowledge,知識、知っていること、認識
2775,knowledgeable,よく知っている、物知りの
2776,label,ラベル、表示、～に…とラベルを付ける
2777,labor,（つらい）労働
2778,laboratory,実験室、研究所、研究室
2779,lack,不足、～を欠いている
2780,ladder,はしご、（出世の）階段
2781,lag,遅れること、時間のずれ
2782,lament,悲しむ、嘆く、悲しむ
2783,landfill,ごみ埋め立て地
2784,landmark,目じるし、画期的事件、歴史的建造物
2785,landmine,地雷
2786,landscape,風景(画)、地形
2787,lane,車線
2788,lap,ひざ
2789,lapse,(時間の)経過、ちょっとした誤り
2790,laptop,ラップトップ、ノートパソコン
2791,largely,ほとんど、主として
2792,last,最後の、この前の、続く、長持ちする
2793,lately,最近.
2794,latest,最新の
2795,Latin,ラテン語、ラテン系の人、ラテン系の
2796,latitude,緯度、許容範囲
2797,latter,後者の、後半の、後者
2798,laugh,笑う
2799,laughter,笑い
2800,launch,開始する、打ち上げる、発射、開始
2801,laundry,洗濯（物）、クリーニング屋
2802,law,法(律)、（自然界の）法則
2803,lawn,芝生
2804,lawsuit,（民事）訴訟
2805,lawyer,弁護士
2806,lay,置く、横たえる、（卵）を産む
2807,layer,（積み重ねたものの）層、地層
2808,lazy,怠け者の、くつろいだ
2809,lead,導く、を率いる、（生活）を送る、先導
2810,leader,指導者、リーダー、先頭に立つ人
2811,leadership,リーダーの地位、指導者の資質
2812,leading,主要な、最も重要な、一流の、先頭の
2813,leaflet,ビラ、小冊子、小さい葉
2814,league,（競技）連盟、同盟
2815,leak,漏らす、漏れる、ひび、割れ、漏れ
2816,lean,やせた、傾く、上体を曲げる
2817,leap,跳ぶ、(心が）おどる、（考えが）ひらめく
2818,lease,賃貸借契約
2819,least,最小（少）（の）、最も～でない
2820,leather,革製の（なめし）革、革製品
2821,leave,残す、置き忘れる、放っておく、出発する、許可、休暇
2822,lecture,講義、講演、講義する
2823,leftover,(特に食事の)残りもの
2824,legacy,遺産、遺物
2825,legal,法律の、合法の
2826,legally,法的に、合法的に
2827,legend,伝説、言い伝え、（図表の）凡例
2828,legible,読みやすい
2829,legislate,法律を制定する
2830,legislation,法律、立法
2831,legitimate,合法的な、妥当な
2832,legitimately,正当に、合法的に
2833,leisure,暇、余暇
2834,lend,貸す、与える
2835,length,（物や時間の）長さ
2836,lengthy,長い、長たらしい
2837,lenient,寛大な
2838,leprosy,ハンセン病
2839,less,より少なく[い]
2840,lessen,～を少なくする
2841,lesser,より劣った、重要でない
2842,lesson,教訓、レッスン、授業
2843,lest,～しないように
2844,let,～が…するのを許す、～を…の状態にする
2845,lethal,死を引き起こす、死に至る(to)
2846,letter,文字、手紙、(～s)文字、学識
2847,level,水準、程度、高さ
2848,leverage,てこの作用、影響力
2849,lexicon,語彙（集）、辞書
2850,liable,～しやすい、～しがちな、法的責任のある
2851,liberal,自由主義の、寛大な、一般教養の
2852,liberate,を解放する
2853,liberty,（拘束などのない）自由
2854,librarian,司書、図書館員
2855,license,認可する、免許（証）
2856,lick,なめる、ひとなめ、少量
2857,lid,(箱・鍋などの)蓋、まぶた
2858,lie,横たわっている、ある、嘘をつく、嘘
2859,life,生命、一生、人生、生物、元気、活気
2860,lifelong,生涯を通じての、一生の
2861,lifestyle,ライフスタイル、生活様式
2862,lifetime,一生
2863,lift,持ち上げる、高揚させる、上がる（こと）、乗せること
2864,lightning,稲妻
2865,likelihood,見込み、ありそうなこと
2866,likely,～しそうな、ありそうな、本当らしい
2867,likeness,似ていること
2868,likewise,同様に
2869,limb,手足、四肢
2870,limestone,石灰岩
2871,limit,制限する、制限、限界
2872,limitation,制限
2873,limited,限定された、わずかの
2874,line,職業、方針、短い手紙、線、列、（文の）行
2875,linger,居残りする、立ち去りかねている、まとわりつく
2876,linguistic,言語学の、言葉の
2877,linguistics,言語学
2878,link,関連、つながり、交通手段、リンク
2879,linkage,関連、連鎖
2880,lint,糸くず、綿くず
2881,lip,唇
2882,liquid,液体（の）
2883,list,リスト（一覧表）、をリスト（一覧表）にする
2884,literacy,読み書きの能力、（ある分野の）知識能力
2885,literal,文字どおりの、逐語的な、散文的な
2886,literally,文字通り
2887,literary,文学の、文語の
2888,literate,読み書きのできる、教養のある、文学に通じた
2889,literature,文学、文献、印刷物
2890,litter,ごみ、乱雑な状態
2891,livelihood,生計、生活手段
2892,lively,生き生きとした
2893,liver,肝臓、レバー
2894,livestock,(牛・羊・豚などの)家畜(類)
2895,lizard,トカゲ
2896,load,(荷など)を積む、積み荷、負担、多量
2897,loan,借金、ローン、を貸し付ける
2898,loathe,ひどく嫌う
2899,lobby,圧力団体、（ホテルなどの）ロビー、ロビー活動をする
2900,local,"地域の, 地元の、地元の人"
2901,locate,見つける、〔受身形で〕位置する
2902,location,場所、位置
2903,lock,錠（をかける）
2904,locomotive,機関車
2905,lodge,(苦情・抗議など)を申し出る、を預ける、を泊める
2906,lofty,崇高な、高慢な、非常に高い
2907,log,丸太、記録する
2908,logging,伐採
2909,logic,論理（学）、必然性
2910,logical,論理的な、筋が通った、論理学（上）の
2911,lonely,孤独の、寂しい
2912,long,熱望する、思い焦がれる
2913,longevity,長寿、寿命、長年勤続
2914,longitude,経度
2915,long-lasting,長続きする
2916,long-term,長期にわたる、長期的な
2917,loophole,抜け穴
2918,loose,ゆるい、解き放たれた、節度のない
2919,lord,貴族、（L-）～卿、君主
2920,lose,失う、負ける、（体重など）を減らす
2921,loss,紛失、損害、死、敗北
2922,lot,くじ、運命、区画、ひと山、たくさんのこと
2923,lottery,宝くじ、くじ引き、運、めぐりあわせ
2924,loudly,大声で、騒々しく
2925,lovely,すてきな、美しい
2926,low,低い、少ない、低く、少なく
2927,lower,下げる、下部の、下級の
2928,loyal,忠実な、誠実な
2929,loyalty,忠誠
2930,luck,（幸）運
2931,luggage,手荷物、旅行カバン
2932,lump,こぶ、はれ、固まり
2933,lung,肺
2934,lure,誘惑する、(釣りの)疑似餌、魅力
2935,luxurious,豪華な、ぜいたくな
2936,luxury,ぜいたく（品）、豪華な
2937,lynx,オオヤマネコ
2938,machinery,機械(装置)
2939,mad,怒っている、熱中して、ばかげた
2940,magnetic,磁気の、磁石の、人を引きつける
2941,magnificent,壮大な、素晴らしい、荘厳な、華やかな
2942,magnify,拡大する、強める、誇張する
2943,mainland,本土
2944,mainly,主として
2945,mainstream,（活動・思潮などの）主流、大勢
2946,maintain,維持する、主張する、扶養する、整備する
2947,maintenance,保守、整備、維持
2948,majestic,威厳のある、雄大な
2949,major,重大な、主要な、大部分の、専攻する
2950,majority,大部分、多数派
2951,makeup,化粧、化粧品、構成、性質
2952,male,男性（の）、雄（の）
2953,malicious,悪意ある、意地の悪い
2954,mall,ショッピングセンター
2955,malnutrition,栄養失調
2956,mammal,哺乳動物、哺乳類
2957,manage,経営する、管理する、何とかやり遂げる
2958,management,経営(者)、取り扱い
2959,mandatory,義務的な、強制的な、(統治を)委任された
2960,manic,躁状態の
2961,manifest,明らかにする、表す、明らかな、はっきりした
2962,manipulate,巧みに扱う、うまく処理する、操作する
2963,mankind,（集合的に）人類
2964,man-made,(物質などが)合成の、人工の
2965,manner,態度、方法、やり方行儀、作法、風習
2966,manual,手動の、手の、人力を要する
2967,manufacture,製造する、でっち上げる
2968,manufacturer,製造業者（メーカー）
2969,manuscript,（手書きの）原稿、写本
2970,maple,カエデ、モミジ
2971,margin,余白、縁、差、利ざや
2972,marine,海の、海に住む、海軍の、海兵隊
2973,mark,印、標的、記号、点数、印をつける、示す、特徴づける
2974,marked,著しい、顕著な
2975,markedly,目立って、明らかに
2976,marketing,マーケティング
2977,marriage,結婚
2978,married,結婚している
2979,marry,～と結婚する
2980,Mars,火星
2981,marvel,驚く、驚くべき人、偉業
2982,marvelous,驚くべき、不思議な、素晴らしい
2983,masculine,男性的な、力強い、男性、男性形（の語）
2984,mask,隠す、仮面
2985,mass,かたまり、多数［量］、一般大衆、庶民
2986,massive,極めて大きい
2987,master,主人、名人、習得する
2988,masterpiece,傑作、代表作、名人芸
2989,match,調和する、匹敵する、試合、匹敵するもの
2990,mate,仲間、つれあい（＝妻・夫）、（動物が）つがう
2991,material,資料、原料、物質、物質の、肉体（上）の
2992,materialistic,物質主義の
2993,maternal,母の、母親らしい、妊婦の
2994,maternity,母性
2995,mathematics,数学
2996,mating,交尾、交配
2997,matter,事柄、問題、事態、困難、物質
2998,mature,成熟した、熟した
2999,maxim,格言、原理
3000,maximize,を最大限にする
3001,maximum,最大限
3002,mayor,市長、（自治体の）長
3003,maze,迷路、複雑に込み入ったもの
3004,meadow,牧草地、草地
3005,meal,食事
3006,mean,意味する、つもりで言う、重要な意味を持つ
3007,meaning,意味、意図
3008,meaningful,意味のある
3009,meaningless,無意味な、無益な
3010,means,（単・複数扱い）手段、方法、財産、収入
3011,meantime,その間
3012,meanwhile,一方、その間
3013,measles,はしか、麻疹
3014,measurably,かなり目に見えて
3015,measure,測る、見積もる、示す、測定、手段、対策
3016,mechanic,機械工
3017,mechanical,機械的な、機械の、メカニズム
3018,mechanism,仕組み
3019,media,メディア、媒体
3020,median,中央の、中間の
3021,mediate,調停する、仲介する、中間の
3022,mediator,仲介者、調停者
3023,medical,医学の、医療の
3024,medication,医薬、薬物医療
3025,medicine,医薬、医学
3026,medieval,中世の、時代遅れの
3027,mediocre,平凡な
3028,meditate,じっくり考える、瞑想する、企てる
3029,meditation,（通例the）瞑想、熟考（on）
3030,Mediterranean,地中海の
3031,medium,中間、媒体、手段、（複数形mediaで）報道機関
3032,meet,～を満たす、～にかなう、交差する
3033,melancholy,憂鬱な、もの悲しい、憂鬱、哀愁
3034,mellow,(性格が)円熟した、柔らかくて豊かな[美しい]
3035,melt,溶ける、和らぐを溶かす
3036,membership,会員であること、会員権、会員、構成員
3037,memoir,回顧録
3038,memorable,忘れられない、記憶すべき
3039,memorize,[他] ～を暗記する
3040,memory,記憶（力）、思い出
3041,menace,脅威を与える、脅迫する
3042,mend,修理する、改める
3043,mental,心の、知的な、知能の、頭の中で考える
3044,mention,述べる、言及する、言及、軽く話題に触れること
3045,mentor,～を指導する、（会社，大学などでの）指導者
3046,merchandise,商品、グッズ、販売を促進する、取引する
3047,merchant,商人、商業の
3048,merciful,慈悲深い、情け深い
3049,Mercury,水星
3050,mercy,慈悲、幸運
3051,mere,単なる、ほんの
3052,merely,単に
3053,merge,合併する、溶け込ませる、合併する
3054,merit,利点、功績、真価
3055,merry,陽気な
3056,mess,混乱、取り散らかした状態、散らかす
3057,metabolism,代謝、代謝作用
3058,metallurgy,治金（術）
3059,metaphor,隠喩、象徴
3060,meteor,流星，隕石
3061,meteorite,隕石
3062,method,方法、筋道、体系、秩序
3063,methodology,方法論、研究方法
3064,metropolis,首都、大都市
3065,metropolitan,大都市の、首都圏の
3066,Mexico,メキシコ
3067,microbe,微生物、細菌
3068,microscopic,顕微鏡でしか見えない、微小の
3069,microwave,マイクロ波、電子レンジ（にかける）
3070,midday,正午、真昼
3071,middle,中央（の）、中間（の）
3072,midst,まっただ中
3073,mighty,強大な、広大な、並外れた
3074,migrate,移住する、（鳥などが）渡る
3075,migration,移住、移動
3076,mild,穏やかな、まろやかな、（程度などが）軽い
3077,mile,マイル（約1.609ｋｍ）
3078,mileage,総マイル数、走行距離
3079,milestone,画期的な出来事
3080,military,軍隊（軍人）の、軍隊
3081,mill,製造工場、製粉所、粉ひき機
3082,millennium,千年(祭)
3083,millionaire,百万長者、大富豪
3084,mimic,をまねる
3085,mind,精神、頭脳、注意（力）、嫌がる
3086,mine,鉱山、（知識などの）宝庫
3087,mineral,鉱物、ミネラル、鉱物を含んだ、鉱物の
3088,mingle,混ぜる、混ぜ合わせる
3089,miniature,小型の
3090,minimal,最小(限度)の
3091,minimum,最小限度
3092,minister,大臣、職者
3093,ministry,省庁
3094,minor,小さな、重要でない
3095,minting,（貨幣の）鋳造
3096,minute,非常に小さい、ささいな、詳細な
3097,miracle,奇跡
3098,mirror,鏡
3099,miscellaneous,種々雑多な
3100,mischief,いたずら、害、いたずらっ子
3101,mischievous,いたずら好きな
3102,misconception,誤解、誤った考え
3103,misdeed,悪行、非行、犯罪
3104,miserable,惨めな
3105,misery,悲惨さ、苦痛、苦難、惨めさ、不幸
3106,misfortune,不幸、不運
3107,mislead,誤解させる、欺く、間違った方向に導く
3108,misleading,人の判断を誤らせる、まぎらわしい
3109,miss,しそこなう、間に合わない、外す、～がないのを寂しく思う
3110,mission,（特別）任務、使節（団）
3111,missionary,伝道者、布教者
3112,mistake,間違える、誤り
3113,mistakenly,間違って
3114,misunderstand,誤解する
3115,mitigate,[他] （苦痛・影響・罰など）～を緩和する
3116,mixture,混合、組み合わせ
3117,moan,うめき声を出す、不平を言う、嘆く、うめき声、不満
3118,mob,群衆、野次馬、集団、（受け身で）取り囲まれる
3119,mobile,動きやすい、移動式の、流動的な
3120,mobility,可動性、流動性
3121,mobilize,を結集する、を動員する
3122,mock,ばかにする、のまねをしてからかう
3123,mode,方式、気分、形態、流行
3124,model,模型、手本、モデル
3125,moderate,普通の、穏やかな、抑える、穏やかになる
3126,moderation,適度に
3127,modern,現代の、近代の
3128,modernization,近代化、現代化
3129,modest,謙虚な、控えめな、質素な、まあまあの
3130,modify,修正する
3131,moist,しっとりした、湿った
3132,moisture,水分、湿気
3133,mold,型に入れて作る、形成する
3134,molecule,分子、微粒子
3135,moment,(特定の)時、瞬間
3136,momentary,瞬間の
3137,momentum,力、勢い、運動量
3138,monarch,君主、皇帝
3139,monarchy,君主制、君主国
3140,monetary,金銭的な、金融の
3141,monitor,（監視）モニター、を監視する
3142,monk,修道士、僧
3143,monologue,独白
3144,monopoly,独占、専売（権）、独占企業、専売会社
3145,monotonous,単調な、一本調子の、退屈な
3146,monument,記念碑、遺跡、不滅の業績
3147,monumental,きわめて重要な、歴史的な、記念碑の
3148,mood,気分、雰囲気
3149,moral,道徳規範、道徳的な
3150,morality,道徳（性）
3151,morally,道徳的に、道義上
3152,moreover,さらに
3153,mortal,致命的な、死すべき（運命の）
3154,mortality,死亡
3155,mortgage,住宅ローン、抵当（権）
3156,mosquito,蚊
3157,moss,コケ
3158,mostly,主に、たいていは
3159,moth,ガ
3160,motion,動き、動作、運動、動議
3161,motivate,（人）に動機を与える
3162,motive,動機、原動力となる
3163,motor,モーター、原動力
3164,mount,載せる、はめ込む、またがる、乗る
3165,mourn,悲しみ嘆く
3166,movement,運動（団体）、動き、移動
3167,mud,泥
3168,muddle,混乱させる；もたもたする
3169,muddy,泥だらけの
3170,mule,ラバ
3171,multicultural,多文化〔民族〕からなる
3172,multiple,多様な、倍数の、倍数
3173,multiply,数を掛ける、増やす
3174,multitude,多数
3175,mumble,つぶやく
3176,mummy,ミイラ、お母さん
3177,mundane,平凡な
3178,municipal,地方自治体の、市町（営）の
3179,murder,～を殺害する、殺人
3180,murmur,かすかな音、つぶやき、ざわめく、ささやく
3181,muscle,筋肉、筋力、腕力、体力
3182,mush,をつぶす；つぶしてどろどろにしたもの
3183,Muslim,イスラム教徒、イスラム教の
3184,mutation,突然変異（体）、変化
3185,mutter,つぶやき、不平、つぶやく、不平を言う
3186,mutual,共通の、相互の
3187,mystery,不思議、神秘
3188,mystical,神秘的な、不可思議な
3189,myth,作り話、神話、誤った考え
3190,mythology,神話、神話学、（比喩的に）俗説、迷信
3191,na?ve,だまされやすい、単純な、純真な、無邪気な
3192,nail,釘、びょう、爪、釘で留める、捕まえる
3193,naive,騙されやすい、単純な、純真な、無邪気な
3194,naked,裸の、あからさまな、無防備の
3195,namely,すなわち、つまり
3196,nap,うたた寝する、（特に日中の）うたた寝
3197,narrative,物語、話、（小説の）叙述部分、地の文
3198,narrow,(幅・心・範囲が)狭い、辛うじての
3199,narrowly,かろうじて
3200,nasty,不快な、いやな、意地悪な、卑劣な
3201,nation,国家、国民
3202,nationalism,国家主義
3203,nationality,国籍、国民、国民性
3204,native,母国の、その土地に生まれた、原産の、原住民
3205,natural,当然の、自然の、生まれながらの
3206,nature,性質、（物事の）本質、自然（界）
3207,naughty,いたずらな、わんぱくな、邪悪な
3208,nauseous,吐き気がする
3209,navigate,航行する、操縦する、誘導する、うまく切り抜ける
3210,navigation,航海
3211,navy,海軍
3212,nearby,近くの、近くで
3213,nearly,ほとんど、すんでのところで
3214,neat,きちんとした、手際のよい、すばらしい
3215,necessarily,[否定文で]必ずしも（…ない）、必ず
3216,necessary,必要な
3217,nectar,(花の)蜜
3218,needle,針、とがったもの
