番号,英単語,意味
1303,refuge,避難 保護 避難所 隠れ家
1304,hardship,苦労 苦難
1305,famine,餓死 飢饉 食糧不足
1306,hazard,危険、 ～を危険にさらす
1307,available,利用できる 入手できる （人が）面会可能な 手の空いている
1308,contribute,貢献する 寄与する、 ～を寄付する ～を述べる
1309,register,～を記録 登録する ～を書留にする （感情など）を表す、 登録 記録[簿] レジ
1310,load,(荷など)を積む ～に詰め込む、 積み荷 重さ 負担 多量 多数
1311,resident,住民 居住者
1312,explore,～を探検する ～を調査する
1313,destination,目的地
1314,context,(文の)前後関係 文脈 背景 状況
1315,criticism,評論 批評 避難 批判
1316,chapter,(書類などの)章 支部 分会
1317,fairy,妖精の
1318,myth,神話 社会通念 作り話
1319,describe,～を描写する ～を（・・・だと）言う ～を説明する
1320,punctual,時間を厳守する 素早い きちょうめんな
1321,prior,(時間・順序が)前の 先の 優先する
1322,primitive,原始の 原始的な 単純な
1323,initial,最初の 初期の、 (姓名・語の)頭文字
1324,era,時代 年代
1325,epoch,新時代 時代
1326,dawn,夜明け (新しい時代などの)始まり、 (事実などが)わかり始める
1327,current,現在の 最新の 通用している、 流れ 傾向 潮流
1328,beforehand,前もって 事前に
1329,inflict,（苦痛、損害、罰など）を与える
1330,chaos,混乱；混とん
1331,catastrophe,惨事；大惨事；大災害；破局
1332,adversity,逆境；不運
1333,grab,～を不意につかむ、～をひったくる
1334,catch,～に間に合う；～に感染する；（～が...しているの）を見つける；～をつかむ
1335,capture,～を捕らえる
1336,endow,～に授ける、～に与える、～に寄付する
1337,mass,かたまり、多数［量］；（the ～es）一般大衆、庶民
1338,diameter,直径
1339,dimension,大きさ；特性、特質、局面
1340,equivalent,同等の、（～に）相当する
1341,virtually,実質的には、ほとんど
1342,massive,（大きさ・程度・量などが）極めて大きい
1343,moderate,適度な、節度のある；（考え方・思想が）穏健な
1344,unanimous,全員一致の；同意見の
1345,venture,冒険；ベンチャービジネス
1346,white-collar,オフィス労働の；サラリーマンの
1347,weave,～を織る；～をまとめ上げる
1348,dispense,～を分配する；（薬）を投与する；～を免ずる
1349,warehouse,倉庫；問屋
1350,textile,織物、布地
1351,reap,～を収穫する、～を刈り入れをする；（報いなど）を受ける
1352,craft,技術；商売；手工業；悪知恵；船舶、飛行機
1353,cattle,（集合的に）畜牛、牛
1354,ambulance,救急車
1355,calamity,災難；大惨事
1356,exterminate,～を根絶する
1357,menace,脅威
1358,smother,～をもみ消す；～を厚く包む；～を窒息させる
1359,perpetual,永久の；絶え間のない
1360,drudgery,骨の折れる仕事；つまらない仕事
1361,skill,技能、技術；熟練
1362,access,接近；（情報や施設などを）利用する権利
1363,sense,感覚；判断力、センス；良識；正気、意識；意味；価値、効果
1364,gift,天賦の才能；贈り物
1365,aware,（～に）気づいている、知っている
1366,curious,好奇心の強い；好奇心をそそる；奇妙な
1367,engage,～を従事させる、～を雇う、～をひきつける
1368,interest,関心、興味；利害（関係）；利子、利息
1369,eager,熱心な；熱望して、切望して
1370,amuse,～を楽しませる
1371,bore,～を退屈させる、～をうんざりさせる
1372,imagine,～を想像する、～を心に描く
1373,deliver,～を配達する、（演説など）をする、（子）を出産する
1374,passage,通行、通路；（文章や曲の）一節；経過、通過；廊下；旅行
1375,carriage,馬車；うば車（アメリカ用法）；〈鉄道の〉客車（イギリス用法）
1376,vehicle,乗物、輸送機関；手段、媒体
1377,traffic,交通、交通量.
1378,travel,通う；伝わる；次々に見る（思い浮かべる）；進む；旅行する
1379,transport,～を輸送する; （be～ed)夢中になる、いっぱいになる
1380,train,列；列車；連続、結果；衣服のすそ
1381,wander,さまよう；迷う
1382,park,～を駐車させる
1383,square,正方形;（四角い）広場；２乗
1384,jam,～をふさぐ；～に詰め込む；～を妨害する
1385,award,～を授与する、～を与える
1386,equal,等しい、匹敵する；耐えられる
1387,fame,名声
1388,honor,名誉、敬意、光栄
1389,unfair,不公平な、不当な；慣行に反した
1390,game,獲物；ゲーム、試合
1391,match,試合；マッチ
1392,inferior,（～より）劣って、（～より）下級の
1393,superior,より優れて、優れた；上級の、上の；高慢な
1394,defeat,～を打ち負かす、～に勝つ；～をくじく
1395,succeed,成功する、うまくいく；相続する、継承する
1396,cruel,残酷な；悲惨な；ひどい
1397,evil,悪い；有害な
1398,rude,無礼な、失礼な；粗雑な；未加工の
1399,infamous,悪名高い；不名誉な
1400,misunderstanding,誤解.
1401,mistake,～を間違える；～を誤解する
1402,FALSE,誤った、間違った；うその、偽りの、真実とは違う
1403,correct,正しい；適切な；正確な
1404,deceive,～をだます
1405,fine,～に罰金を科する
1406,judge,～を判断する；～であると判断する；～を裁く
1407,advantage,利益、利点、有利な立場
1408,reality,現実（性）、実体；本質
1409,doubt,疑い、疑念.
1410,belief,信念；確信；信じること；（～に対する）信頼
1411,aspect,側面；外観；顔つき
1412,annoy,～をいらいらさせる；～を悩ます
1413,forgive,（罪などをおかした人）を許す
1414,harm,損害、危害
1415,hurt,～の心を傷つける、～を傷つける
1416,ignore,～を無視する.
1417,struggle,苦闘、奮闘、努力、争い
1418,worry,心配する、悩む
1419,figure,姿、容姿；人物；数学、計算；図、図形
1420,break,休憩； 破損、骨折
1421,consist,（～から）成る［構成されている］；（～に）ある
1422,create,～を創造する
1423,decorate,～を飾る.
1424,destroy,～を破壊する、～を滅ぼす；～を殺す
1425,develop,～を発達させる、～を開発する、～を発育させる
1426,transform,～を変形させる、～を一変させる
1427,rest,残り（のもの）；休息、休憩；台；停止、静止
1428,disease,病気
1429,risk,危険、冒険
1430,maintain,～を主張する；～を維持する；（家族など）を扶養する；～を整備する
1431,repair,～を修理する；（健康など）を回復する; ～を償う
1432,process,過程、工程；方法、手順；経過、進展
1433,machinery,（集合的に）機械；組織
1434,goods,商品、品物
1435,artificial,人工の、人造の；不自然な
1436,invent,～を発明する；（話）をでっち上げる
1437,manufacture,製造；（～s）製品
1438,produce,～を製造する；～を生産する；～を産む；～を創作する；～を提出する
1439,task,仕事、任務
1440,paper,新聞；論文、レポート；証明書；紙
1441,wear,～をすり減らす、～を使い果たす；～を疲れさせる；～を身につけている
1442,waste,～を浪費する、～を無駄にする；～を荒廃させる；～を消耗させる
1443,yield,～を産出する；～を生ずる；～を明け渡す
1444,represent,～を表す［意味する］；～を代表する；～を描写する
1445,solid,個体の 頑丈な 確実な 充実した 濃い
1446,rigid,堅い 動かない 柔軟性のない 厳格な
1447,voluntary,自発的な 自然に生じる 任意の
1448,tame,飼いならされた 柔順な 耕作された、 ～を飼いならす (自然のちからなど)を制御する (色彩など)を和らげる
1449,flexible,柔軟な 柔らかい 融通のきく
1450,vague,あいまいな ぼんやりした うつろな かすかな
1451,stereotype,固定観念 型にはまった人[物]、 ～を型にはめる ～を形式化する
1452,tender,柔らかい もろい 弱い 優しい 親切な 触ると痛む 敏感な
1453,firm,堅固な しっかりした 安定した、 会社
1454,glittering,キラキラ輝く
1455,bright,明るい 輝いている 頭が良い
1456,positive,自信のある 肯定的な 積極的な 明確な 疑いのない
1457,negative,否定的な 打ち消しの 消極的な 負の、 否定 (写真の)ネガ
1458,conflict,(～との)闘争 衝突 (意見などの)対立 不一致、 (～と)矛盾する
1459,confront,～(困難など)に直面する ～と(対立関係で)向かい合う
1460,resist,～に抵抗する ～に敵対する ～に耐える
1461,conquer,～(領土など)を征服する ～を占める ～を克服する
1462,contradict,～と矛盾する (人の考えなど)を否定する
1463,coarse,粗雑な きめの粗い 下品な 卑猥な
1464,incredible,信じがたい 途方もない とてもすばらしい
1465,silly,愚かな バカバカしい
1466,ridiculous,ばかげた
1467,vain,無駄な 骨折り損の むなしい 価値のない うぬぼれの強い
1468,complicated,複雑な 入り組んだ
1469,complex,複雑な 複合的な、 合成物 脅迫概念 複合施設
1470,commonplace,平凡な つまらない 陳腐な、 平凡なこと 陳腐な言葉
1471,credit,信用 名誉 功績 クレジット (大学などの)単位、 ～を信じる
1472,prime,最も重要な 第一級の 主な 最初の
1473,splendid,豪華な 立派な
1474,burglar,泥棒 強盗
1475,conscience,良心
1476,guilt,罪 有罪 罪悪感
1477,arrest,～を逮捕する ～(の進行)を止める、 逮捕
1478,respect,点 細目 尊敬 重視 関心 関連、 ～を尊敬する ～を尊重する
1479,murder,～を殺害する、 殺人
1480,cheat,～をだます、 いかさまをする 不正をする、 不正行為 カンニング 詐欺師
1481,envy,～をうらやむ ～をねたむ、 ねたみ うらやむ気持ち
1482,insult,～を侮辱する ～をはずかしめる、 侮辱
1483,sorrow,悲しみ 後悔
1484,cheer,～を元気付ける ～にかっさいを送る、 元気を出す 歓声を上げる、 歓呼 励まし 喜び 元気
1485,confide,信頼する、 (秘密など)を人に打ち明ける ～を(～～～に)ゆだねる
1486,mercy,慈悲 親切 幸運 情け
1487,hostile,敵意のある 敵対的な 反感をもった 敵の
1488,hospitable,親切にもてなす 快く受け入れる 快適な
1489,grace,気品 優雅さ 好意 神の恵み 慈悲
1490,console,～を慰める
1491,bless,～を祝福する ～に恵みを与える
1492,grave,重大な 威厳のある 真面目な 厳粛な、 墓場
1493,rational,合理的な 理性的な
1494,radical,根本的な 急進的な 過激な
1495,eliminate,～を除去する ～を完全になくす ～を取り除く
1496,precise,正確な 明確な まさにその
1497,inevitable,避けられない 必然的な
1498,implicit,暗黙の
1499,feeble,弱々しい ひ弱な
1500,ugly,醜い 不快な けしからぬ
1501,rent,賃貸料 使用料 家賃、 ～を賃借りする ～を賃貸しする
1502,wage,(～s)賃金 給料
1503,promote,～を促進する ～を奨励する ～を昇進させる
1504,mechanical,機械的な 機械の、 メカニズム
1505,distribute,～を分配する ～を配布する ～を配送する
1506,corporation,企業 会社
1507,broadcast,～を放送[放映]する ～を言いふらす 吹聴する、 放送する、 放送された、 放送
1508,advertise,～を広告する ～を宣伝する ～を公にする、 広告 宣伝する 自己宣伝をする
1509,formidable,恐ろしい (仕事などが難しくて)手に負えない
1510,stink,悪臭がする (ひどく)臭い、 悪臭
1511,vulgar,下品な 粗野な 悪趣味の
1512,ambiguous,(色々な意味に取れる)あいまいな
1513,affirmative,肯定的な、 肯定 賛成
1514,fragile,壊れやすい もろい ひ弱な
1515,potent,力強い (薬などが)効力がある
1516,potential,可能な 潜在的な (発展、発達の)可能性がある、 可能性 潜在能力 潜在性
1517,stiff,堅い こわばった 断固とした 法外な
1518,capricious,気まぐれな
1519,ingenious,発明の才に富む 巧妙な 独創的な 利口な
1520,obstinate,頑固な しつこい
1521,mobile,動きやすい 移動可能な
1522,pedestrian,歩行者、 歩行者用の
1523,transition,推移 移り変わり 過渡期 変わり目
1524,emigrant,(他国への)移民
1525,migrate,移住する (鳥などが)渡る
1526,transplant,～を移植する ～を移動させる、 移植
1527,transmit,～を送る ～を伝える ～を伝染させる
1528,rush,急ぐ 急いでする、 (人)をせかす ～を急いでやる ～を突破、突進する、 あわただしさ
1529,excursion,遠足 団体の小旅行 脱線 逸脱
1530,locomotive,機関車
1531,yacht,ヨット クルーザー
1532,celebrate,～を祝う (人)を褒め称える ～を賛美する
1533,applaud,～に大きな拍手を送る
1534,collide,衝突する
1535,contend,争う 議論する、 ～を主張する
1536,opponent,(競技、討論などの)相手 敵 対抗者 反対者
1537,rival,競争相手 ライバル、 ～に匹敵する ～と互角に戦う
1538,strive,（～しようと）努力する
1539,revenge,～に復讐をする ～のあだを討つ、 復讐
1540,blunder,大失敗する、 大失敗
1541,avenge,～のあだを討つ
1542,humanity,人類 人間性 人間らしさ (the ～ies)人文科学
1543,humane,思いやりのある 人道的な
1544,err,誤りを犯す
1545,vice,悪徳 悪いこと、 (官職名の前につけて)副～ ～代理
1546,virtue,美徳 長所 (薬などの)ききめ
1547,bully,いじめ いじめっこ、 ～をいじめる
1548,abuse,～を誤用する ～を乱用する ～を虐待する、 虐待 乱用 誤用
1549,bias,偏見、 ～に偏見を持たせる ～に偏見をもたらす
1550,juvenile,青少年の 少年の、 少年 少女 青少年
1551,orphan,孤児
1552,amateur,素人 アマチュア、 未熟な アマチュアの
1553,compassion,おもいやり 哀れみ 同情
1554,charity,慈善(行為) 思いやり 慈善団体[基金] 慈善事業
1555,worship,～を崇拝する ～を賛美する、 礼拝に出る、 賛美 尊敬 崇拝
1556,animate,～を活気づける ～に生命を吹き込む
1557,cherish,～を大事にする ～を心に抱く ～を（ずっと）大事にする
1558,dedicate,～を捧げる
1559,enchant,～を魅了する ～に魔法をかける
1560,inspire,～を奮い立たせる ～を励ます ～に吹き込む ～に感動を与える
1561,allot,～を～に分配する ～を～に割り当てる ～を充当する
1562,ornament,装飾(品) 飾り
1563,metaphysical,形而上学的な きわめて抽象的な
1564,cottage,別荘 (郊外・田舎の)小さな家
1565,auditorium,講堂 公会堂 観客席
1566,cathedral,大聖堂
1567,corridor,(建物の)老化 通路
1568,ceiling,天井 (価格などの)上昇
1569,mess,混乱 取り散らかした状態、 ～を散らかす
1570,smash,～を粉々にする ～をバシッと打つ、 粉々になる 衝突する
1571,dispose,～を配列する ～を（～する）気にさせる
1572,transparent,透明な 見え透いた 明白な わかりやすい 率直な
1573,manifest,～を明らかにする ～を表す、 明らかな はっきりした
1574,illuminate,～を照明する ～を解明する
1575,eruption,噴火 発生 勃発
1576,comet,彗星
1577,barometer,気圧計 (世の中の動きなどを示す)指標 バロメーター
1578,gene,遺伝子
1579,germ,細菌
1580,worm,(ミミズなどの)虫
1581,botany,植物学
1582,cell,細胞 個室 (刑務所の)独房 電池
1583,stout,頑丈な しっかりした 太った 勇敢な
1584,prescribe,(薬、治療など)を処方する (規則など)を指示 規定する
1585,epidemic,伝染病の流行 (良くないことの)流行 蔓延、 (病気が)流行性の
1586,fiction,小説 フィクション 作り話 虚構
1587,conversation,会話
1588,article,記事 論文 品物 物 (契約などの)条件 冠詞
1589,pronounce,～を発音する ～を断言する ～を宣言する
1590,note,～に注意する ～に気づく ～に言及する ～を書き留める。 メモ 短い手紙 紙幣 注釈 記録 音符 (声の)調子
1591,mention,～だと述べる ～に言及する。 言及 軽く話題に触れること
1592,accent,なまり アクセント
1593,refer,言及する 参照する 調べる 呼ぶ。 ～に差し向ける
1594,tell,～を区別する ～を見分ける。 効く 影響する 効果がある
1595,translate,～を翻訳する ～を解釈する ～を(～～～に)移す
1596,utter,(言葉など)を発する ～を表現する。 全くの 徹底的な
1597,display,～を陳列する ～を示す ～を見せびらかす。 陳列 展示 (感情などを)表に出すこと
1598,art,芸術 美術 技術 こつ (～s)人文科学
1599,detail,細部 詳細 細かい部分
1600,confidential,内密の 機密の
1601,concrete,具体的な 有形の。コンクリート
1602,innumerable,無数の 数え切れないほどの
1603,exceed,～を超える ～より勝る
1604,exaggerate,～を誇張して言う
1605,savage,未開の 野蛮な 荒涼とした。野蛮人 野蛮な人
1606,curriculum,カリキュラム (学校の)教科課程
1607,concise,(言葉～文体などが)簡潔な
1608,bold,大胆な 怖いもの知らず ずうずうしい
1609,eccentric,常軌を逸した 一風変わった 変な
1610,insane,狂気の 正気ではない 非常識な
1611,charm,魅力 まじない お守り。～をうっとりさせる ～に魔法をかける ～を魅惑する
1612,perplex,～を当惑させる ～を悩ませる ～を複雑にする
1613,preoccupied,夢中になった 心を奪われている
1614,tedious,退屈な
1615,clumsy,(動作～態度などが)ぎこちない 不細工な (手先などが)不器用な
1616,sophisticated,洗練された 精巧な 教養のある
1617,lecture,講義 講演 説教。講義[講演]する。～に説教する
1618,letter,文字 手紙、 (～s)文字 学識
1619,poet,詩人
1620,vocabulary,語彙
1621,saying,ことわざ 格言 発言
1622,proverb,ことわざ 格言
1623,subject,主題 話題 教科 国民 家来 主語 被験者。 (～の)支配下にある (～に)かかりやすい (～を)受けやすい
1624,tale,話 物語
1625,thought,考え 思いつき 思想 思考 考えること 思いやり
1626,verbal,言葉の 言葉による 口頭の
1627,culture,文化 教養 洗練 耕作 栽培 飼育 芸術 文学
1628,prepare,～を用意する ～の支度(覚悟 心構え)をさせる ～を訓練する。準備する 覚悟する
1629,faculty,能力 才能 機能 (大学の)学部 教授陣
1630,particular,特定の 格別の 著しい 好みがうるさい 綿密な。個々の項目 (～s)詳細
1631,unexpected,思いがけない 不意の
1632,innovation,刷新 大発明 革命的な変化
1633,emerge,現れる
1634,abrupt,突然の ぶっきらぼうな
1635,burst,爆発する 突然始まる 破裂する。～を破裂[爆発]させる
1636,rouse,～を目覚めさせる ～を奮起させる
1637,coincide,一致する 同時に起こる
1638,dreadful,ひどい いやな 恐ろしい
1639,laborious,(仕事などが)骨の折れる 大変な 勤勉な 難解でおもしろくない
1640,fabulous,すばらしい
1641,unprecedented,先例のない 無比の
1642,prominent,有名な 卓越した 目立った 突き出た
1643,ripe,(果実などが)熟した 期が熟した 円熟した
1644,stern,厳格な 過酷な
1645,grim,きびしい 冷酷な 気味悪い
1646,vulnerable,傷つきやすい 攻撃されやすい
1647,nasty,不快な いやな 意地悪な 卑劣な
1648,folly,愚かさ 愚行
1649,respond,答える 反応する
1650,propose,～を提案する (～に結婚)を申し込む
1651,publish,～を出版する ～を発表する
1652,consider,～をよく考える ～を(～と)みなす ～をよく検討する ～を考慮する
1653,damage,損害 被害。 ～に損害(被害)を与える
1654,instruct,～に教える ～に指示する
1655,literal,文字通りの 文字の 正確な
1656,quest,探求。探し回る 追求する
1657,accurate,正確な 精密な 狂いのない
1658,school,学派 (魚などの)群れ 学校 専門学部。～を教育する
1659,scholar,学者
1660,philosophy,哲学 原理 人生観 考え方
1661,tone,音色 音調 調子 語調 気風 色合い。～をある調子にする
1662,alternative,二者択一 選択肢 代わりになるもの。新しい 型にはまらない どちらか一つを選ぶべき 代わりの
1663,sword,剣 刀 武力 権力 戦争
1664,fur,毛皮(製品)
1665,fluid,流動体。 流動体の 流動性の
1666,motive,動機 原動力となる
1667,wit,知力 機知 機転 ウィット 機知に富む人 機転のきく人 (～s)平静
1668,mental,心の 知的な 知能の 頭の中で考える 精神病の
1669,string,ひも 糸 一連 一列
1670,prosper,繁栄する 成功する
1671,bet,～を賭ける ～（という結果）に賭ける きっと～になると思う、 賭け
1672,controversy,論争 議論
1673,odds,(優劣などの)差 勝ち目 可能性
1674,triumph,勝利 大勝利、 勝利を得る 勝利を喜ぶ
1675,intent,熱中して 集中した、 意図 目的
1676,feat,偉業 妙技 芸当
1677,certificate,証明書 免許状
1678,toll,使用料 通行料 犠牲(者)
1679,tariff,関税 運賃 料金表
1680,fortnight,2週間
1681,climate,気候 風土 風潮
1682,humid,湿気の多い 湿った
1683,solar,太陽の 太陽光線を利用した
1684,crop,作物 収穫(量) ～を収穫する。(作物が)できる
1685,fuel,燃料
1686,technology,科学技術 科学的方法
1687,technique,技術 技法 手法 コツ
1688,tool,道具 工具 商売道具 手段
1689,way,道 進路 方向 付近 距離 やり方 方法 習慣 観点。ずっと はるかに
1690,architecture,建築学 建築物
1691,certain,ある(ひとつの[決まった]) 。 確信して (事が)確実な (～を)確信している
1692,manage,～を経営する ～を管理する ～を何とかやり遂げる まんまと～する
1693,sign,～に署名する ～に合図する。 符合 記号 しるし 兆候 身振り 合図 標識
1694,reserve,～を取っておく ～を予約する。蓄え 備蓄 遠慮
1695,preserve,～を保存する ～を保つ ～を保護する ～を保存加工する
1696,accommodate,～を宿泊させる ～を収容する ～をもてなす
1697,fatigue,疲労 疲れ。 ～を疲れさせる
1698,exhaust,～を疲れさせる ～を使い果たす
1699,drown,～を溺死させる。溺れ死ぬ ずぶ濡れになる
1700,soak,～を浸す ～をびしょぬれにする
1701,exhibit,～を展示する ～を示す (感情など)を表す[見せる]
1702,gangster,やくざ ギャング（の一人）
1703,corrupt,墜落した わいろのきく、 ～を墜落させる ～を買収する
1704,anguish,(精神的な)苦痛 非常な悲しみ
1705,torture,拷問 苦痛、 ～を拷問にかける ～をひどく苦しめる (言葉や経験)を曲解する
1706,gender,(社会的・文化的観点からの)性 性の差 性別 (文法の)性
1707,masculine,男性の 男らしい
1708,mortal,死ぬ運命にある 致命的な 人間の、 （～s）人間
1709,barbarian,野蛮な 未開の、 未開人
1710,radioactive,放射性の
1711,beverage,飲物(水を除くすべての飲み物[ジュース、コーヒー、アルコールなど])
1712,vapor,蒸気 実体のないもの
1713,bare,裸の むき出しの (物事などが)ありのままの ぎりぎりの 最低限の
1714,huge,巨大な 莫大な
1715,rough,ざらざらした 大ざっぱな おおまかな乱暴な
1716,thin,薄い 細い やせた まばらな 乏しい 水っぽい
1717,tight,きつい (予定などが)ぎっしり詰まった ケチな 厄介な 厳格な。 堅く しっかりと きつく 十分に
1718,tiny,とても小さな ごくわずかの
1719,thick,厚い 太い 込み合った (液体～気体が)濃い
1720,amount,総計 合計 総額 量 額。総額(～～～に)達する 結局(～～～に)なる
1721,brief,短時間の 簡潔な 簡単な。(人)に(状況などを)報告[発表]する 要約する。簡単な声明 要約
1722,smooth,なめらかな 順調な。～をなめらかにする
1723,deliberate,慎重な 意図的な 落ち着いた ゆっくりの。～を熟考する
1724,former,前の 以前の 前者の。(the～)前者
1725,pioneer,先駆者 開拓者。～を開拓する ～の先駆けとなる
1726,bearing,態度 関係 方向 忍耐
1727,reward,報酬 見返り 褒美。(人)に報いる ～に報酬を与える
1728,bother,～を困らせる ～に面倒をかける ～を悩ます。思い悩む 心配する。面倒 (a～)悩みの種
1729,forbid,～を禁止する ～に(～することを)禁じる
1730,privilege,特権 特典 名誉。～に特権を与える
1731,opportunity,機会 好機 チャンス
1732,rebel,反逆者 反抗者 謀反人。反乱を起こす 反抗する
1733,overwhelm,～を圧倒する ～を困惑させる
1734,trap,わな 策略、 ～を罠で捕らえる ～をだます ～を閉じ込める
1735,tact,こつ 機転 手触り
1736,stadium,スタジアム 球場
1737,estate,財源 (広大な)地所[屋敷]
1738,ecology,生態学 自然環境 エコロジー
1739,dwell,住む
1740,drought,干ばつ 日照り続き
1741,chilly,ひんやりとした (寒さで)ぞくぞくする
1742,souvenir,記念品 おみやげ
1743,lid,(箱・鍋などの)蓋 まぶた
1744,leather,革
1745,spirit,精神 霊魂 気迫 勇気
1746,species,種 種類 人類
1747,native,母国の その土地[土地]に生まれた 原産の。その土地で生まれた人 その土地の固有の動植物 原住民
1748,mankind,人類 人間
1749,alien,外国の 異質の ～になじみない ～と相容れない。外国人 宇宙人
1750,chemical,化学の 化学的な。化学薬品 薬品 化学物資 化学製品
1751,fashion,やり方 流行
1752,secretary,秘書 (米国)長官 (英国)大臣 書記(官)
1753,bank,土手 堤防 銀行
1754,address,あいさつ 演説 手際の良さ 住所 あて先。～に話しかける (心、注意力などを)～に注ぐ 向ける (問題など)に取り組む 解決のために努力する
1755,necessary,必要な 必然的な
1756,essential,不可欠の 本質的な。本質的要素
1757,imply,～を暗に意味する ～をほのめかす
1758,suggest,～を提案する ～をほのめかす ～を連想させる
1759,tidy,きちんとした きれい好きな 満足な (収入～仕事が)なかなかよい
1760,alter,～を変える
1761,adjust,～を適合させる ～を調節(調整)する (環境など)に慣れる。(～に)順応 適応する 慣れる
1762,superstition,迷信 偶像礼拝
1763,formula,公式 (決まった)方法 処方
1764,breed,(家畜など)を繁殖させる。繁殖する。(動植物の)品種
1765,bloom,(花が)咲く 栄える。(鑑賞用の)花 輝き 色つや 最盛期
1766,blossom,(果樹の)花が咲く 繁栄する 開花する。(食用果樹の)花 開花
1767,oppression,圧迫 圧制 圧迫感
1768,restrain,～を抑える ～に（・・・するのを）やめさせる
1769,reproach,～を非難する、 非難 叱責
1770,distort,(顔や事実など)をゆがめる （ものなど）をねじる
1771,alcohol,酒 アルコール
1772,stale,(食物などが)新鮮でない (表現などが)陳腐な
1773,appetite,食欲 欲求
1774,ingredient,原材料[中身] 成分 要素
1775,fossil,化石の、 化石
1776,erosion,浸食
1777,weed,雑草 役に立たない人(物)、 (雑草)を抜く ～を取り除く
1778,strict,厳格な 厳密な 全くの 完全な
1779,fair,公平な 公正な まあまあの かなりの 美しい 色白の 好天の。品評会 博覧会
1780,maximum,最大限 最高。最大限[最高]の
1781,plain,はっきりした 明らかな わかりやすい 質素な 簡素な。 平原 平野
1782,broad,広い 広範囲に及ぶ 大まかな
1783,immense,巨大な 莫大な
1784,largely,主として 大いに
1785,rare,まれな 珍しい すばらしい
1786,slight,わずかな ほっそりした 取るに足らない。侮辱
1787,sufficient,十分な
1788,so-called,いわゆる 世間でいう
1789,biology,生物学 生態
1790,atom,原子
1791,mosquito,蚊
1792,lightning,稲妻
1793,nuclear,核の 原子力の 核兵器の 中心の。核兵器
1794,ray,光線 輝き ひらめき
1795,satellite,衛星 人工衛星 衛星国家
1796,forecast,(天気など)を予報する。予報 予測
1797,soil,土 土地 土壌
1798,tide,潮(の干満) 傾向 流れ 栄枯盛衰 絶頂期 最悪時
1799,wicked,邪悪な いたずらな とてもひどい
1800,cunning,悪賢い ずるい、 ずるさ
1801,wretched,みじめな 哀れな
1802,random,でたらめの 手当たり次第の
1803,crude,天然のままの 大雑把な
1804,dreary,わびしい 退屈な
1805,tranquil,静かな 穏やかな 平静な
1806,exotic,めずらしい 異国風の 魅惑的な
1807,solemn,厳粛な 真面目な
1808,serene,(海・空などが)おだやかな 落ち着いた
1809,meager,やせた (質や量が)貧弱な (作品などが)無味乾燥な
1810,pollution,汚染、汚れ；公害
1811,wound,～を傷つける、～にけがを負わせる
1812,unfortunately,不幸にも、あいにく
1813,trouble,心配、苦労；迷惑、災難；短所；紛争、騒ぎ；病気；故障、不調
1814,tolerate,～を寛大に扱う；～を大目に見る；～に耐える
1815,survive,生き残る、なんとかやっていく
1816,suffer,（苦痛・損害など）を受ける
1817,flood,洪水、（人・物の）殺到、氾濫
1818,disaster,災害、惨事
1819,safe,安全な、確実な
1820,save,～を救う；～をたくわえる；～を省く；～を節約する；～をとっておく；～を保護する
1821,puzzle,～を困らせる；～を当惑させる
1822,shade,陰；（明暗、濃淡の）度合い；わずかな違い；微量
1823,vivid,鮮やかな、強烈な、はっきりした；生き生きとした
1824,reveal,～を明らかにする、（隠れているもの）を見せる、～を示す
1825,glow,（熱で）赤くなる、輝く
1826,grieve,深く悲しむ、嘆き悲しむ
1827,gloomy,憂鬱な、薄暗い
1828,fade,（色が）あせる、（音などが）消えていく、（花などが）しぼむ
1829,expose,～を暴露する、～をさらす
1830,wreck,破損；残骸；難破（船）
1831,torment,～をひどく苦しめる；～の意味をねじ曲げる
1832,execute,～を実行する、～を実際に行う；（人）を処刑する
1833,breakdown,故障；（精神的、肉体的な）衰弱；（交渉などの）決裂
1834,optimism,楽観主義、楽観
1835,pessimism,悲観（主義）；悲観論
1836,monotonous,単調な、退屈な
1837,dismal,気の滅入る、憂鬱な、陰鬱な、（気分的に）暗い
1838,dim,薄暗い；ぼやけた、おぼろげな
1839,terrorism,テロ行為；恐怖政治、恐怖状態
1840,ambivalence,相反［矛盾］する感情；両面価値
1841,skeptical,懐疑的な
1842,delay,～を遅らせる；～を延期する
1843,evolve,～を発展させる
1844,haste,急ぐこと、あわてること
1845,overnight,一晩で；一晩中；急に、突然
1846,period,期間；時期 、時代；ピリオド；授業の時限；月経（期間）
1847,rapid,急速な、速い
1848,permanent,（半）永久的な、永続する、耐久の；常置の、終身の
1849,postpone,～を延期する、～を後まわしにする
1850,present,（叙述用法）出席している、存在している；（限定用法）現在の
1851,term,学期、任期、期間；言葉、専門用語；条件、料金；(～s) 関係、仲
1852,suspend,～をつるす；～を一時的に中止する；～を停職（学）にする；～を保留する
1853,refrain,（～を）差し控える、慎む
1854,interrupt,～の邪魔をする、～に割り込む、～を中断する、
1855,hesitate,ためらう、躊躇する
1856,compromise,妥協（すること）、妥協案；歩み寄り
1857,divine,神の、神のような
1858,disturb,～をかき乱す、～を妨害する、～の邪魔をする
1859,awful,恐ろしい；おぞましい、ひどい
1860,awkward,不器用な；落ち着かない；やっかいな、扱いにくい、ぎこちない
1861,sustain,～を支える；～を維持する；（重さ・苦難など）に耐える；（害）を被る
